run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260823_203202_8b8a0d,2019-01-02,1000000.0,1000000.0,0.0,0.0,2969.535,0.0
20260823_203202_8b8a0d,2019-01-03,997262.183374,16021.162374,981241.021,-0.00273782,2964.842,-0.00158038
20260823_203202_8b8a0d,2019-01-04,1022637.818374,16021.162374,1006616.656,0.0254453,3035.874,0.02395811
20260823_203202_8b8a0d,2019-01-07,1041863.816374,16021.162374,1025842.654,0.0188004,3054.303,0.00607041
20260823_203202_8b8a0d,2019-01-08,1043670.993658,9175.789658,1034495.204,0.00173456,3047.703,-0.00216089
20260823_203202_8b8a0d,2019-01-09,1047559.217658,9175.789658,1038383.428,0.00372553,3078.475,0.01009678
20260823_203202_8b8a0d,2019-01-10,1050343.976658,9175.789658,1041168.187,0.00265833,3072.686,-0.00188048
20260823_203202_8b8a0d,2019-01-11,1058701.879658,9175.789658,1049526.09,0.0079573,3094.778,0.0071898
20260823_203202_8b8a0d,2019-01-14,1061125.167658,9175.789658,1051949.378,0.00228892,3067.784,-0.00872244
20260823_203202_8b8a0d,2019-01-15,1075051.964118,5849.903118,1069202.061,0.01312456,3127.99,0.01962524
20260823_203202_8b8a0d,2019-01-16,1070768.085118,5849.903118,1064918.182,-0.00398481,3128.651,0.00021132
20260823_203202_8b8a0d,2019-01-17,1060479.246118,5849.903118,1054629.343,-0.00960884,3111.416,-0.00550876
20260823_203202_8b8a0d,2019-01-18,1074104.475118,5849.903118,1068254.572,0.01284818,3168.173,0.01824153
20260823_203202_8b8a0d,2019-01-21,1085034.885118,5849.903118,1079184.982,0.0101763,3185.636,0.00551201
20260823_203202_8b8a0d,2019-01-22,1086125.277446,27579.643446,1058545.634,0.00100494,3143.317,-0.01328432
20260823_203202_8b8a0d,2019-01-23,1088545.990446,27579.643446,1060966.347,0.00222876,3141.053,-0.00072026
20260823_203202_8b8a0d,2019-01-24,1096345.800446,27579.643446,1068766.157,0.00716535,3158.781,0.00564397
20260823_203202_8b8a0d,2019-01-25,1089688.396446,27579.643446,1062108.753,-0.00607236,3184.469,0.00813225
20260823_203202_8b8a0d,2019-01-28,1088042.611446,27579.643446,1060462.968,-0.00151033,3183.777,-0.0002173
20260823_203202_8b8a0d,2019-01-29,1076579.334647,20300.766647,1056278.568,-0.01053569,3193.969,0.00320123
20260823_203202_8b8a0d,2019-01-30,1071481.151647,20300.766647,1051180.385,-0.00473554,3168.482,-0.00797973
20260823_203202_8b8a0d,2019-01-31,1051840.011647,20300.766647,1031539.245,-0.01833083,3201.633,0.01046274
20260823_203202_8b8a0d,2019-02-01,1074203.363647,20300.766647,1053902.597,0.02126117,3247.397,0.01429396
20260823_203202_8b8a0d,2019-02-11,1101137.042647,20300.766647,1080836.276,0.02507317,3306.472,0.01819149
20260823_203202_8b8a0d,2019-02-12,1113577.999261,13481.929261,1100096.07,0.01129828,3330.335,0.00721706
20260823_203202_8b8a0d,2019-02-13,1132313.292261,13481.929261,1118831.363,0.01682441,3397.027,0.02002561
